num_requests;num_threads;job_wallclock_time_msec;sample_num;batch_num
2048;1;99448;0;2048
2048;1;98991;1;2048
2048;1;98052;2;2048
2048;1;101063;3;2048
2048;1;100267;4;2048
2048;1;99980;5;2048
2048;1;97982;6;2048
2048;1;98331;7;2048
2048;1;99906;8;2048
2048;1;97752;9;2048
2048;1;94050;10;2048
2048;1;99661;11;2048
2048;1;98678;12;2048
2048;1;99315;13;2048
2048;1;95588;14;2048
2048;1;99320;15;2048
2048;1;100509;16;2048
2048;1;99380;17;2048
2048;1;98594;18;2048
2048;1;97879;19;2048
2048;1;101336;20;2048
2048;1;99387;21;2048
2048;1;96868;22;2048
2048;1;99545;23;2048
2048;1;100681;24;2048
2048;1;98447;25;2048
2048;1;97893;26;2048
2048;1;97829;27;2048
2048;1;101662;28;2048
2048;1;101048;29;2048
2048;1;98406;30;2048
2048;1;96304;31;2048
2048;1;102414;32;2048
2048;1;101987;33;2048
2048;1;93928;34;2048
2048;1;98936;35;2048
2048;1;100718;36;2048
2048;1;99688;37;2048
2048;1;95985;38;2048
2048;1;97043;39;2048
2048;1;100345;40;2048
2048;1;100748;41;2048
2048;1;97744;42;2048
2048;1;94142;43;2048
2048;1;101662;44;2048
2048;1;100686;45;2048
2048;1;99895;46;2048
2048;1;97477;47;2048
2048;1;101130;48;2048
2048;1;100922;49;2048
2048;2;49841;0;1024
2048;2;49636;1;1024
2048;2;50115;2;1024
2048;2;50692;3;1024
2048;2;52273;4;1024
2048;2;51281;5;1024
2048;2;52148;6;1024
2048;2;50802;7;1024
2048;2;49203;8;1024
2048;2;49776;9;1024
2048;2;48566;10;1024
2048;2;49544;11;1024
2048;2;51127;12;1024
2048;2;51898;13;1024
2048;2;51563;14;1024
2048;2;50151;15;1024
2048;2;49427;16;1024
2048;2;49873;17;1024
2048;2;50155;18;1024
2048;2;50006;19;1024
2048;2;51432;20;1024
2048;2;51393;21;1024
2048;2;51692;22;1024
2048;2;49986;23;1024
2048;2;50854;24;1024
2048;2;48458;25;1024
2048;2;50821;26;1024
2048;2;50482;27;1024
2048;2;51198;28;1024
2048;2;51512;29;1024
2048;2;50912;30;1024
2048;2;50181;31;1024
2048;2;49812;32;1024
2048;2;48845;33;1024
2048;2;50717;34;1024
2048;2;51915;35;1024
2048;2;51483;36;1024
2048;2;51369;37;1024
