num_requests;num_threads;job_process_wallclock_time_msec;job_merge_wallclock_time_msec;job_full_wallclock_time_msec;sample_num;batch_num
2048;1;7185;2;7187;0;2048
2048;1;7188;3;7191;1;2048
2048;1;7565;2;7567;2;2048
2048;1;7200;2;7202;3;2048
2048;1;7109;1;7110;4;2048
2048;1;6909;2;6911;5;2048
2048;1;7966;2;7968;6;2048
2048;1;7303;2;7305;7;2048
2048;1;7125;2;7127;8;2048
2048;1;7081;2;7083;9;2048
2048;1;7186;2;7188;10;2048
2048;1;7332;2;7334;11;2048
2048;1;7205;2;7207;12;2048
2048;1;7003;2;7005;13;2048
2048;1;7182;2;7184;14;2048
2048;1;7362;2;7364;15;2048
2048;1;7143;2;7145;16;2048
2048;1;7307;2;7309;17;2048
2048;1;7181;2;7183;18;2048
2048;1;7700;1;7701;19;2048
2048;1;6848;2;6850;20;2048
2048;1;7561;2;7563;21;2048
2048;1;7090;2;7092;22;2048
2048;1;7333;2;7335;23;2048
2048;1;7747;2;7749;24;2048
2048;1;7098;2;7100;25;2048
2048;1;8146;2;8148;26;2048
2048;1;7986;2;7988;27;2048
2048;1;8044;2;8046;28;2048
2048;1;6983;2;6985;29;2048
2048;1;7160;2;7162;30;2048
2048;1;7807;2;7809;31;2048
2048;1;7255;1;7256;32;2048
2048;1;7288;2;7290;33;2048
2048;1;7491;1;7492;34;2048
2048;1;8329;2;8331;35;2048
2048;1;7238;1;7239;36;2048
2048;1;7491;2;7493;37;2048
2048;1;7108;2;7110;38;2048
2048;1;7200;2;7202;39;2048
2048;1;7134;2;7136;40;2048
2048;1;7393;2;7395;41;2048
2048;1;6954;2;6956;42;2048
2048;1;6778;1;6779;43;2048
2048;1;6976;2;6978;44;2048
2048;1;7346;2;7348;45;2048
2048;1;7106;2;7108;46;2048
2048;1;7753;2;7755;47;2048
2048;1;7347;2;7349;48;2048
2048;1;7098;1;7099;49;2048
2048;2;4215;2;4217;0;1024
2048;2;4533;3;4536;1;1024
2048;2;4664;2;4666;2;1024
2048;2;4127;2;4129;3;1024
2048;2;4218;1;4219;4;1024
2048;2;3917;1;3918;5;1024
2048;2;4164;1;4165;6;1024
2048;2;3899;2;3901;7;1024
2048;2;4405;1;4406;8;1024
2048;2;3780;1;3781;9;1024
2048;2;3834;1;3835;10;1024
2048;2;3947;0;3947;11;1024
2048;2;4100;1;4101;12;1024
2048;2;3837;2;3839;13;1024
2048;2;4006;2;4008;14;1024
2048;2;3894;2;3896;15;1024
2048;2;4697;1;4698;16;1024
2048;2;4171;1;4172;17;1024
2048;2;3985;1;3986;18;1024
2048;2;3988;2;3990;19;1024
2048;2;3860;1;3861;20;1024
2048;2;3949;1;3950;21;1024
2048;2;4692;1;4693;22;1024
2048;2;4335;1;4336;23;1024
2048;2;4472;1;4473;24;1024
2048;2;4113;1;4114;25;1024
2048;2;4281;1;4282;26;1024
2048;2;4403;1;4404;27;1024
2048;2;4260;1;4261;28;1024
2048;2;3904;1;3905;29;1024
2048;2;4042;2;4044;30;1024
2048;2;4408;1;4409;31;1024
2048;2;4285;1;4286;32;1024
2048;2;4122;2;4124;33;1024
2048;2;4039;2;4041;34;1024
2048;2;3947;1;3948;35;1024
2048;2;4123;1;4124;36;1024
2048;2;3936;1;3937;37;1024
2048;2;4235;1;4236;38;1024
2048;2;4621;1;4622;39;1024
2048;2;3910;2;3912;40;1024
2048;2;3963;1;3964;41;1024
