num_requests;num_threads;job_process_wallclock_time_msec;job_merge_wallclock_time_msec;job_full_wallclock_time_msec;sample_num;batch_num
2048;64;1387;13;1400;8;32
2048;64;1343;12;1355;9;32
2048;64;1382;12;1394;10;32
2048;64;1347;12;1359;11;32
2048;64;1402;12;1414;12;32
2048;64;1485;12;1497;13;32
2048;64;1383;12;1395;14;32
2048;64;1424;13;1437;15;32
2048;64;1373;13;1386;16;32
2048;64;1353;13;1366;17;32
2048;64;1460;12;1472;18;32
2048;64;1492;12;1504;19;32
2048;64;1420;12;1432;20;32
2048;64;1407;12;1419;21;32
2048;64;1463;12;1475;22;32
2048;64;1447;13;1460;23;32
2048;64;1360;13;1373;24;32
2048;128;1338;27;1365;0;16
2048;128;1369;30;1399;1;16
2048;128;1300;25;1325;2;16
2048;128;1296;28;1324;3;16
2048;128;1335;25;1360;4;16
2048;128;1329;27;1356;5;16
2048;128;1304;25;1329;6;16
2048;128;1315;29;1344;7;16
2048;128;1312;26;1338;8;16
2048;128;1305;26;1331;9;16
2048;128;1307;29;1336;10;16
2048;128;1310;26;1336;11;16
2048;128;1324;26;1350;12;16
2048;128;1317;29;1346;13;16
2048;128;1321;25;1346;14;16
2048;128;1317;25;1342;15;16
2048;128;1316;25;1341;16;16
2048;128;1307;27;1334;17;16
2048;128;1323;27;1350;18;16
2048;128;1301;26;1327;19;16
2048;128;1317;25;1342;20;16
2048;128;1328;26;1354;21;16
2048;128;1354;29;1383;22;16
2048;128;1590;32;1622;23;16
2048;128;1396;27;1423;24;16
2048;256;1344;51;1395;0;8
2048;256;1298;52;1350;1;8
2048;256;1374;51;1425;2;8
2048;256;1317;50;1367;3;8
2048;256;1330;57;1387;4;8
2048;256;1347;53;1400;5;8
2048;256;1303;53;1356;6;8
2048;256;1303;52;1355;7;8
2048;256;1313;54;1367;8;8
2048;256;1303;55;1358;9;8
2048;256;1340;52;1392;10;8
2048;256;1334;51;1385;11;8
2048;256;1344;50;1394;12;8
2048;256;1319;55;1374;13;8
2048;256;1309;50;1359;14;8
2048;256;1300;53;1353;15;8
2048;256;1308;50;1358;16;8
2048;256;1307;52;1359;17;8
2048;256;1364;56;1420;18;8
2048;256;1316;58;1374;19;8
2048;256;1297;54;1351;20;8
2048;256;1315;50;1365;21;8
2048;256;1298;49;1347;22;8
2048;256;1302;53;1355;23;8
2048;256;1302;51;1353;24;8
2048;512;1444;102;1546;0;4
2048;512;1381;107;1488;1;4
2048;512;1299;124;1423;2;4
2048;512;1317;108;1425;3;4
2048;512;1298;105;1403;4;4
2048;512;1322;104;1426;5;4
2048;512;1350;108;1458;6;4
2048;512;1308;108;1416;7;4
2048;512;1314;119;1433;8;4
2048;512;1317;101;1418;9;4
2048;512;1263;110;1373;10;4
2048;512;1285;106;1391;11;4
2048;512;1301;103;1404;12;4
2048;512;1338;116;1454;13;4
2048;512;1310;111;1421;14;4
2048;512;1295;119;1414;15;4
2048;512;1318;103;1421;16;4
2048;512;1293;106;1399;17;4
2048;512;1370;119;1489;18;4
2048;512;1329;102;1431;19;4
2048;512;1303;103;1406;20;4
2048;512;1313;118;1431;21;4
2048;512;1340;117;1457;22;4
2048;512;1296;111;1407;23;4
2048;512;1304;102;1406;24;4
2048;1024;1522;214;1736;0;2
2048;1024;1774;210;1984;1;2
2048;1024;1270;209;1479;2;2
2048;1024;1265;215;1480;3;2
2048;1024;1274;207;1481;4;2
2048;1024;1299;220;1519;5;2
2048;1024;1287;206;1493;6;2
2048;1024;1269;209;1478;7;2
